state,yr,hcci_hl_cat,spend_pm,oop_pm,adj_price,adj_util_1k,price,util_1k,case_mix_index,spend_annual,oop_annual,util_annual,adj_util_annual,price_annual,adj_price_annual,case_mix_annual,spend_cmltv,oop_cmltv,util_cmltv,adj_util_cmltv,price_cmltv,adj_price_cmltv,case_mix_cmltv
IA,2016,Total,5065.145142,859.3707428,,,,,,0.041751616,0.050453987,-0.005638647,-0.000731335,0.047808015,0.042822066,0.005013551,0.13663223,0.11558274,-0.002926213,0.005976666,0.14087658,0.131048737,0.009221836
IA,2017,Total,5363.710083,896.2095909,,,,,,0.058944993,0.042867236,0.016474448,0.018657982,0.042877836,0.040279285,0.002426889,0.20363101,0.16340469,0.013551278,0.024641995,0.189335845,0.176485401,0.011840513
ID,2013,Total,4746.827332,823.3867493,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
ID,2014,Total,5002.718323,845.8127518,,,,,,0.053907793,0.027236292,-0.002148018,-0.002184672,0.05902792,0.059568985,-0.000380499,0.053907793,0.027236292,-0.002148018,-0.002184672,0.05902792,0.059568985,-0.000380499
ID,2015,Total,5192.411743,827.1207237,,,,,,0.037918068,-0.022099487,-0.005732031,0.011391998,0.044445472,0.02687275,0.017348109,0.093869939,0.004534897,-0.007909037,0.009148331,0.106235014,0.088202537,0.016962289
ID,2016,Total,5345.878662,859.420536,,,,,,0.029555999,0.039050903,-0.017137386,0.007029926,0.047077914,0.022148065,0.024896173,0.12620036,0.043762892,-0.023951497,0.016473074,0.158898953,0.112697391,0.04223343
ID,2017,Total,5457.538086,878.6077499,,,,,,0.02088701,0.022325756,-0.007238654,-0.011487102,0.029250272,0.033891863,-0.004367748,0.14972332,0.067065693,-0.030781523,0.004326062,0.193203004,0.149919813,0.037576977
IL,2013,Total,4804.727783,784.9412422,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
IL,2014,Total,4975.825134,804.1974411,,,,,,0.035610206,0.024532026,-0.008692007,-0.007894907,0.045781503,0.044809511,0.000935707,0.035610206,0.024532026,-0.008692007,-0.007894907,0.045781503,0.044809511,0.000935707
IL,2015,Total,5127.961304,822.9947128,,,,,,0.030575063,0.02337395,0.002682701,0.003708563,0.028199198,0.027182503,0.00102948,0.067274056,0.048479386,-0.005728069,-0.004033569,0.075696575,0.073755431,0.001970903
IL,2016,Total,5293.860535,853.3859367,,,,,,0.032351889,0.036927607,0.005664519,0.014152025,0.026788585,0.017707105,0.008912214,0.10180239,0.087197222,0.000724657,0.010369812,0.105518753,0.093799531,0.011030361
IL,2017,Total,5478.083008,875.2712517,,,,,,0.034799267,0.025645273,0.003158745,-0.001501404,0.03154514,0.036232893,-0.00422054,0.1401443,0.11507869,0.005512197,0.009223252,0.140339209,0.13312326,0.007244546
IN,2013,Total,5210.604614,884.7250404,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
IN,2014,Total,5356.942139,898.9347382,,,,,,0.028084558,0.016061146,-0.017926468,-0.015640213,0.047793092,0.045384134,0.002465162,0.028084558,0.016061146,-0.017926468,-0.015640213,0.047793092,0.045384134,0.002465162
IN,2015,Total,5499.144104,941.6791687,,,,,,0.026545361,0.047550093,-0.006349672,-0.004528454,0.0334918,0.031759688,0.001823904,0.055375434,0.064374946,-0.024002551,-0.020015518,0.083157569,0.079131874,0.004333214
IN,2016,Total,5714.871948,987.5739822,,,,,,0.039229348,0.048737209,-0.00598923,0.006360403,0.045411626,0.032356452,0.012711761,0.096777126,0.11624961,-0.029289921,-0.013567752,0.133035108,0.115087099,0.017124895
IN,2017,Total,6042.748291,1020.782295,,,,,,0.057372473,0.03362615,0.014996337,0.012626503,0.042462832,0.044711153,-0.002160237,0.15970194,0.1537848,-0.014015294,-0.000934274,0.181130197,0.16451426,0.015218275
KS,2013,Total,4367.477234,822.0569229,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
KS,2014,Total,4275.733459,835.6815872,,,,,,-0.021006126,0.016573871,-0.040211187,-0.050497777,0.021949029,0.033172653,-0.010634073,-0.021006126,0.016573871,-0.040211187,-0.050497777,0.021949029,0.033172653,-0.010634073
KS,2015,Total,4324.075623,817.2576599,,,,,,0.011306169,-0.022046588,-0.017154778,-0.015602513,0.02902305,0.027298391,0.001726534,-0.009937456,-0.005838115,-0.056333804,-0.064991084,0.05166107,0.061471717,-0.009002909
KS,2016,Total,4708.336731,901.8292122,,,,,,0.088865489,0.10348212,0.069179646,0.082165533,0.019022243,0.006836551,0.012207037,0.078044936,0.097039863,0.008556028,0.010869113,0.072325889,0.069532542,0.003036979
KS,2017,Total,4886.632935,939.2108688,,,,,,0.037868194,0.041450925,0.002629138,0.005976834,0.035102329,0.031575173,0.003438871,0.11886855,0.14251319,0.011684526,0.016948304,0.109789358,0.103077509,0.006610626
KY,2013,Total,4963.657104,815.8344536,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
KY,2014,Total,5024.302673,903.9689674,,,,,,0.01221792,0.1080299,-0.035608608,-0.042033829,0.05073383,0.057820687,-0.006551998,0.01221792,0.1080299,-0.035608608,-0.042033829,0.05073383,0.057820687,-0.006551998
KY,2015,Total,5013.105896,934.5435181,,,,,,-0.002228524,0.033822566,-0.022296104,-0.009847789,0.024174951,0.00914256,0.014603698,0.00996217,0.14550631,-0.057444787,-0.051270781,0.075612059,0.067137225,0.007534819
KY,2016,Total,5212.591797,966.887104,,,,,,0.039792877,0.034608968,-0.005720707,0.012892367,0.045494829,0.025890077,0.019082364,0.050151467,0.1851511,-0.061263778,-0.03861118,0.125919497,0.095669711,0.0269759
